Brand,Model,Year,Age,Kilometer,Fuel Type,Fuel Type,Engine,Max Power,Transmission,Seats,Price
Maruti,Swift Dzire VDI,2014,11,145500,Diesel,Diesel,1248 CC,74 bhp,Manual,5,450000
Skoda,Rapid 1.5 TDI Ambition,2014,11,120000,Diesel,Diesel,1498 CC,103.52 bhp,Manual,5,370000
Honda,City 2017-2020 EXi,2006,19,140000,Petrol,Petrol,1497 CC,78 bhp,Manual,5,158000
Hyundai,i20 Sportz Diesel,2010,15,127000,Diesel,Diesel,1396 CC,90 bhp,Manual,5,225000
Maruti,Swift VXI BSIII,2007,18,120000,Petrol,Petrol,1298 CC,88.2 bhp,Manual,5,130000
Hyundai,Xcent 1.2 VTVT E Plus,2017,8,45000,Petrol,Petrol,1197 CC,81.86 bhp,Manual,5,440000
Maruti,Wagon R LXI DUO BSIII,2007,18,175000,LPG,Other,1061 CC,57.5 bhp,Manual,5,96000
Maruti,800 DX BSII,2001,24,5000,Petrol,Petrol,796 CC,37 bhp,Manual,4,45000
Toyota,Etios VXD,2011,14,90000,Diesel,Diesel,1364 CC,67.1 bhp,Manual,5,350000
Ford,Figo Diesel Celebration Edition,2013,12,169000,Diesel,Diesel,1399 CC,68.1 bhp,Manual,5,200000
Renault,Duster 110PS Diesel RxL,2014,11,68000,Diesel,Diesel,1461 CC,108.45 bhp,Manual,5,500000
Maruti,Zen LX,2005,20,100000,Petrol,Petrol,993 CC,60 bhp,Manual,5,92000
Maruti,Swift Dzire VDi,2009,16,140000,Diesel,Diesel,1248 CC,73.9 bhp,Manual,5,280000
Maruti,Wagon R LXI Minor,2009,16,90000,Petrol,Petrol,1061 CC,67 bhp,Manual,5,180000
Mahindra,KUV 100 mFALCON G80 K8 5str,2016,9,40000,Petrol,Petrol,1198 CC,82 bhp,Manual,5,400000
Maruti,Ertiga SHVS VDI,2016,9,70000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,7,778000
Hyundai,i20 1.4 CRDi Asta,2012,13,53000,Diesel,Diesel,1396 CC,90 bhp,Manual,5,500000
Maruti,Alto LX,2002,23,80000,Petrol,Petrol,796 CC,46.3 bhp,Manual,5,150000
Hyundai,i20 2015-2017 Asta 1.4 CRDi,2016,9,100000,Diesel,Diesel,1396 CC,88.73 bhp,Manual,5,680000
Mahindra,Verito 1.5 D4 BSIII,2011,14,100000,Diesel,Diesel,1461 CC,64.1 bhp,Manual,5,174000
Honda,WR-V i-DTEC VX,2017,8,50000,Diesel,Diesel,1498 CC,98.6 bhp,Manual,5,950000
Maruti,Swift Dzire ZDI,2015,10,40000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,525000
Maruti,SX4 ZDI,2012,13,72000,Diesel,Diesel,1248 CC,88.8 bhp,Manual,5,600000
Tata,Tigor 2017-2020 XZ,2018,7,35000,Petrol,Petrol,1199 CC,83.81 bhp,Manual,5,500000
Maruti,Baleno Delta 1.2,2016,9,45000,Petrol,Petrol,1197 CC,83.1 bhp,Manual,5,575000
Maruti,Alto 800 LXI,2017,8,28000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,275000
Chevrolet,Enjoy TCDi LTZ 7 Seater,2013,12,70000,Diesel,Diesel,1248 CC,73.8 bhp,Manual,7,300000
Maruti,Wagon R LXI Minor,2009,16,120000,Petrol,Petrol,1061 CC,67 bhp,Manual,5,220000
Maruti,Omni E MPI STD BS IV,2018,7,25000,Petrol,Petrol,796 CC,34.2 bhp,Manual,8,254999
Maruti,Vitara Brezza LDi Option,2017,8,70000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,670000
Maruti,Omni 8 Seater BSIV,2012,13,35000,Petrol,Petrol,796 CC,35 bhp,Manual,5,150000
Hyundai,i20 1.2 Asta Dual Tone,2018,7,2388,Petrol,Petrol,1197 CC,81.83 bhp,Manual,5,730000
Maruti,Vitara Brezza LDi,2017,8,16200,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,650000
Maruti,Alto 800 CNG LXI Optional,2019,6,10000,CNG,Other,796 CC,40.3 bhp,Manual,4,330000
Maruti,Alto K10 VXI Airbag,2019,6,15000,Petrol,Petrol,998 CC,67.1 bhp,Manual,5,366000
Hyundai,Verna VTVT 1.6 SX Option,2019,6,5000,Petrol,Petrol,1591 CC,121.3 bhp,Manual,5,1149000
Datsun,GO D,2016,9,42000,Petrol,Petrol,1198 CC,67 bhp,Manual,5,150000
Tata,Safari DICOR 2.2 LX 4x2,2011,14,60000,Diesel,Diesel,2179 CC,138.03 bhp,Manual,7,425000
Maruti,800 Std,2012,13,76000,Petrol,Petrol,796 CC,37 bhp,Manual,4,150000
Jeep,Compass 1.4 Limited Plus BSIV,2019,6,5000,Petrol,Petrol,1368 CC,160.77 bhp,Automatic,5,2100000
Honda,City i VTEC VX,2018,7,28900,Petrol,Petrol,1497 CC,117.3 bhp,Manual,5,925000
Honda,City V MT,2013,12,86300,Petrol,Petrol,1497 CC,116.3 bhp,Manual,5,425000
Maruti,Swift Dzire VXi AT,2018,7,23300,Petrol,Petrol,1197 CC,83.14 bhp,Automatic,5,675000
Maruti,Vitara Brezza VDi,2018,7,32600,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,819999
Maruti,Alto K10 VXI,2018,7,10300,Petrol,Petrol,998 CC,67.05 bhp,Manual,5,390000
Toyota,Fortuner 4x4 MT,2014,11,77000,Diesel,Diesel,2982 CC,168.5 bhp,Manual,7,1500000
Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,2013,12,99000,Diesel,Diesel,2494 CC,100 bhp,Manual,7,700000
Mercedes-Benz,B Class B180,2014,11,27800,Diesel,Diesel,2143 CC,120.7 bhp,Automatic,5,1450000
Honda,Amaze S Diesel,2015,10,49800,Diesel,Diesel,1498 CC,98.63 bhp,Manual,5,425000
Mitsubishi,Pajero Sport 4X4,2013,12,151000,Diesel,Diesel,2477 CC,175.56 bhp,Manual,7,1090000
Honda,City i DTEC S,2015,10,54700,Diesel,Diesel,1498 CC,98.6 bhp,Manual,5,600000
Maruti,Ciaz Zeta,2018,7,64000,Petrol,Petrol,1462 CC,103.25 bhp,Manual,5,850000
Honda,Jazz VX Diesel,2015,10,63000,Diesel,Diesel,1498 CC,98.6 bhp,Manual,5,525000
Toyota,Innova Crysta 2.8 ZX AT BSIV,2016,9,127700,Diesel,Diesel,2755 CC,171.5 bhp,Automatic,7,1650000
Toyota,Innova 2.5 G (Diesel) 7 Seater,2016,9,99000,Diesel,Diesel,2494 CC,100.6 bhp,Manual,7,950000
Audi,A6 2.0 TDI Technology,2013,12,33900,Diesel,Diesel,1968 CC,174.33 bhp,Automatic,5,1750000
Toyota,Corolla Altis 1.8 VL CVT,2018,7,25000,Petrol,Petrol,1798 CC,138.03 bhp,Automatic,5,1590000
Audi,A6 2.0 TDI  Design Edition,2013,12,50000,Diesel,Diesel,1968 CC,187.74 bhp,Automatic,5,1689999
Mercedes-Benz,New C-Class 220 CDI AT,2013,12,59000,Diesel,Diesel,2143 CC,170 bhp,Automatic,5,1425000
Tata,Manza ELAN Quadrajet BS IV,2011,14,120000,Diesel,Diesel,1248 CC,88.8 bhp,Manual,5,265000
Hyundai,i10 Magna,2011,14,110000,Petrol,Petrol,1197 CC,78.9 bhp,Manual,5,190000
Hyundai,i20 Asta 1.4 CRDi,2013,12,60000,Diesel,Diesel,1396 CC,88.76 bhp,Manual,5,425000
Maruti,Swift Dzire ZDI,2015,10,147000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,630000
Ford,Figo 1.2P Titanium MT,2017,8,25000,Petrol,Petrol,1196 CC,86.8 bhp,Manual,5,600000
Maruti,Baleno Delta 1.2,2019,6,30000,Petrol,Petrol,1197 CC,83.1 bhp,Manual,5,650000
Volkswagen,Ameo 1.5 TDI Highline 16 Alloy,2016,9,40000,Diesel,Diesel,1498 CC,108.495 bhp,Manual,5,540000
