Brand,Model,Year,engine model,Engine,Max Power,Seats
Ford,Utility Police Interceptor Base,2013,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,,,
Hyundai,Palisade SEL,2021,3.8L V6 24V GDI DOHC,,,
Lexus,RX 350 RX 350,2022,3.5 Liter DOHC,,,
INFINITI,Q50 Hybrid Sport,2015,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,,,
Audi,Q3 45 S line Premium Plus,2021,2.0L I4 16V GDI DOHC Turbo,,,
Acura,ILX 2.4L,2016,2.4 Liter,,,
Audi,S3 2.0T Premium Plus,2017,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,740 iL,2001,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,RC 350 F Sport,2021,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X Long Range Plus,2020,534.0HP Electric Motor Electric Fuel System,,,
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,V6,,,
Aston,Martin DBS Superleggera,2019,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,,,
Toyota,Supra 3.0 Premium,2021,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Lincoln,Aviator Reserve AWD,2022,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Jaguar,F-TYPE,2020,2.0 Liter Supercharged,,,
Land,Rover LR4 HSE,2013,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,Metris Base,2021,2.0L I4 16V GDI DOHC Turbo,,,
Dodge,Challenger SXT,2013,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Nissan,350Z Enthusiast,2003,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Jaguar,F-TYPE R,2018,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Genesis,GV70 3.5T Sport,2023,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,S-10 LS,2000,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,,,
BMW,440 Gran Coupe 440i xDrive,2020,3.0 Liter Turbo,,,
Ford,F-150 XLT,2023,3.5L V6 24V PDI DOHC Twin Turbo,,,
