Brand,Model,Year,Age,Kilometer,Fuel Type,Engine,Max Power,Transmission,Seats,Price
Acura,ILX 2.0L w/Premium Package,2013,12,318649,Petrol,2000,150,Automatic,5,917400
Acura,ILX 2.0L w/Premium Package,2015,10,120701,Petrol,2000,150,Automatic,5,1209300
Acura,ILX 2.4L,2016,9,219509,Petrol,2400,201,Manual,5,1234153
Acura,ILX Premium & A-SPEC Packages,2019,6,31382,Petrol,2400,201,Automatic,5,2085000
Acura,ILX Premium Package,2018,7,51917,Petrol,2400,201,Automatic,5,1751317
Acura,ILX Premium Package,2019,6,60994,Petrol,2400,201,Automatic,5,2168400
Acura,ILX Premium Package,2022,3,25943,Petrol,2400,201,Automatic,5,2218357
Acura,ILX Technology Plus Package,2016,9,98170,Petrol,2400,201,Automatic,5,1751400
Acura,ILX Technology Plus Package,2017,8,109757,Petrol,2400,201,Automatic,5,1313550
Acura,Integra LS,1998,27,193121,Petrol,1800,320,Automatic,5,458700
Acura,Integra w/A-Spec Tech Package,2023,2,5752,Petrol,1500,320,Automatic,5,2918833
Acura,MDX 3.5L Technology Package,2014,11,179683,Petrol,3500,355,Automatic,5,1459500
Acura,MDX 3.5L w/Advance & Entertainment Pkgs,2017,8,128561,Petrol,3500,355,Automatic,5,2071656
Acura,MDX 3.5L w/Technology Package,2019,6,145814,Petrol,3500,355,Automatic,5,2310013
Acura,MDX 3.7L Advance,2011,14,220801,Petrol,3700,300,Automatic,7,1000800
Acura,MDX 3.7L Advance,2013,12,33394,Petrol,3700,305,Automatic,5,2752200
Acura,MDX Sport,2007,18,295241,Petrol,3700,300,Automatic,5,642180
Acura,MDX Sport Hybrid 3.0L w/Technology Package,2019,6,91375,Other,3000,355,Automatic,5,3494377
Acura,MDX Technology,2008,17,296796,Petrol,3700,300,Automatic,7,417000
Acura,MDX Technology,2022,3,25580,Petrol,3500,300,Automatic,5,3999030
Acura,MDX Touring,2003,22,265541,Petrol,3500,300,Automatic,8,333600
Acura,MDX w/Advance Package,2023,2,5967,Petrol,3500,290,Automatic,5,4920433
Acura,MDX w/Technology Package,2022,3,48565,Petrol,3500,290,Automatic,5,3886273
Acura,MDX w/Technology Package,2023,2,5496,Petrol,3500,290,Automatic,7,4586833
Acura,NSX Base,2018,7,10498,Other,3500,573,Automatic,5,12001260
Acura,RDX,2016,9,212838,Petrol,3500,279,Automatic,7,1584433
Acura,RDX Advance Package,2021,4,46671,Petrol,2000,293,Automatic,5,3306810
Acura,RDX Base,2018,7,110119,Petrol,3500,279,Automatic,7,1959900
Acura,RDX PMC Edition,2021,4,71546,Petrol,2000,293,Automatic,5,3385873
Acura,RDX Technology Package,2020,5,49914,Petrol,2000,272,Automatic,7,3049938
Acura,RDX w/Advance Package,2021,4,58366,Petrol,2000,293,Automatic,7,3319153
