Brand,Model,Year,Age,Kilometer,Fuel Type,Engine,Max Power,Transmission,Seats,Price
Ford,Utility Police Interceptor Base,2013,12,82076,Other,3700,365,Automatic,5,859020
Hyundai,Palisade SEL,2021,4,55912,Petrol,3800,291,Automatic,8,3169617
Lexus,RX 350 RX 350,2022,3,36004,Petrol,3500,295,Automatic,5,4553473
INFINITI,Q50 Hybrid Sport,2015,10,143070,Other,3500,360,Automatic,5,1292700
Audi,Q3 45 S line Premium Plus,2021,4,15828,Petrol,2000,228,Automatic,5,2918917
Acura,ILX 2.4L,2016,9,219509,Petrol,2400,201,Manual,5,1234153
Audi,S3 2.0T Premium Plus,2017,8,135185,Petrol,2000,333,Automatic,5,2585400
BMW,740 iL,2001,24,389460,Petrol,4400,282,Automatic,5,608820
Lexus,RC 350 F Sport,2021,4,37716,Petrol,3500,314,Automatic,5,3496712
Tesla,Model X Long Range Plus,2020,5,54718,Other,,259,Automatic,5,5833830
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,4,44431,Petrol,3000,198,Automatic,5,6163010
Aston,Martin DBS Superleggera,2019,6,36645,Petrol,5200,715,Automatic,4,15396140
Toyota,Supra 3.0 Premium,2021,4,20117,Petrol,3000,434,Automatic,5,4461900
Lincoln,Aviator Reserve AWD,2022,3,29284,Petrol,3000,494,Automatic,5,5170800
Jaguar,F-TYPE,2020,5,25593,Petrol,2000,575,Automatic,4,4003033
Land,Rover LR4 HSE,2013,12,128425,Petrol,5000,375,Automatic,7,2501166
Mercedes-Benz,Metris Base,2021,4,2712,Petrol,2000,577,Automatic,2,20850000
Dodge,Challenger SXT,2013,12,98289,Petrol,3600,376,Automatic,5,1401120
Nissan,350Z Enthusiast,2003,22,119091,Petrol,3500,287,Manual,2,917400
Jaguar,F-TYPE R,2018,7,56729,Petrol,5000,575,Automatic,4,5733750
Genesis,GV70 3.5T Sport,2023,2,8690,Petrol,3500,375,Automatic,5,5004000
Chevrolet,S-10 LS,2000,25,214863,Other,2200,206,Automatic,3,375300
BMW,440 Gran Coupe 440i xDrive,2020,5,41827,Petrol,3000,425,Automatic,5,3219073
Ford,F-150 XLT,2023,2,4543,Petrol,3500,290,Automatic,5,4879234
Chevrolet,Suburban RST,2021,4,83686,Petrol,5300,355,Automatic,5,5087400
Hyundai,Elantra N Base,2022,3,18749,Petrol,2000,276,Automatic,5,2693820
Nissan,Sentra SR,2016,9,155367,Petrol,1800,188,Automatic,5,1167433
