Brand,Model,Age,Kilometer,Engine,Max Power,Seats,Fuel Type_Code,Transmission_Code,Age_Squared,Km_per_Year,Power_per_Seat,Log_Price
Acura,ILX 2.0L w/Premium Package,12,318649,2000.0,150.0,5,2,0,144,26334.628099173555,29.999940000120002,13.729299951181677
Acura,ILX 2.0L w/Premium Package,10,120701,2000.0,150.0,5,2,0,100,11950.594059405941,29.999940000120002,14.005553064697692
Acura,ILX 2.4L,9,219509,2400.0,201.0,5,2,1,81,24121.868131868134,40.199919600160804,14.025896273067728
Acura,ILX Premium & A-SPEC Packages,6,31382,2400.0,201.0,5,2,0,36,5144.5901639344265,40.199919600160804,14.550279892831231
Acura,ILX Premium Package,7,51917,2400.0,201.0,5,2,0,49,7312.253521126761,40.199919600160804,14.375879205287077
Acura,ILX Premium Package,6,60994,2400.0,201.0,5,2,0,36,9999.016393442624,40.199919600160804,14.58950058753774
Acura,ILX Premium Package,3,25943,2400.0,201.0,5,2,0,9,8368.709677419354,40.199919600160804,14.612277840540472
Acura,ILX Technology Plus Package,9,98170,2400.0,201.0,5,2,0,81,10787.91208791209,40.199919600160804,14.375926597041891
Acura,ILX Technology Plus Package,8,109757,2400.0,201.0,5,2,0,64,13550.246913580248,40.199919600160804,14.088244714913916
Acura,Integra w/A-Spec Tech Package,2,5752,1500.0,320.0,5,2,0,4,2739.047619047619,63.999872000256005,14.88669477942848
Acura,MDX 3.5L Technology Package,11,179683,3500.0,355.0,5,2,0,121,16187.657657657659,70.99985800028401,14.193605154442224
Acura,MDX 3.5L w/Advance & Entertainment Pkgs,8,128561,3500.0,355.0,5,2,0,64,15871.72839506173,70.99985800028401,14.543859328117623
Acura,MDX 3.5L w/Technology Package,6,145814,3500.0,355.0,5,2,0,36,23903.93442622951,70.99985800028401,14.65276414308567
Acura,MDX 3.7L Advance,14,220801,3700.0,300.0,7,2,0,196,15659.645390070922,42.857081632740524,13.816311237334979
Acura,MDX 3.7L Advance,12,33394,3700.0,305.0,5,2,0,144,2759.8347107438017,60.999878000244,14.82791151315894
Acura,MDX Sport,18,295241,3700.0,300.0,5,2,0,324,16311.657458563535,59.999880000240005,13.372625474401065
Acura,MDX Sport Hybrid 3.0L w/Technology Package,6,91375,3000.0,355.0,5,1,0,36,14979.508196721312,70.99985800028401,15.066665949285303
Acura,MDX Technology,17,296796,3700.0,300.0,7,2,0,289,17356.491228070176,42.857081632740524,12.940843898859598
Acura,MDX Technology,3,25580,3500.0,300.0,5,2,0,9,8251.612903225807,59.999880000240005,15.201562639736894
Acura,MDX Touring,22,265541,3500.0,300.0,8,2,0,484,12015.429864253392,37.499953125058596,12.717700947064154
Acura,MDX w/Advance Package,2,5967,3500.0,290.0,5,2,0,4,2841.428571428571,57.999884000232,15.40890729596021
